actor/actor_entropy,actor/actor_loss,actor/bc_flow_loss,actor/distill_loss,actor/q_loss,alpha/alpha_loss,alpha/alpha_value,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
-130.05853,227.32147,0.0,0.056811288,221.64035,3.0593159e-10,2.3522607e-12,8.276263,-136.98532,-225.27896,-291.72928,2.4370353,-2.897678,153.08067,180000
-130.26233,229.9503,0.0,0.05181521,224.76878,2.949424e-10,2.2642188e-12,9.376338,-113.63304,-228.29724,-297.83643,3.4342153,-5.4664946,206.22205,185000
-128.83789,229.01628,0.0,0.056737866,223.3425,2.8079863e-10,2.1794725e-12,7.602969,-128.26695,-226.85196,-304.06293,2.5684328,-2.2426834,152.84717,190000
-130.12717,228.7018,0.0,0.049000558,223.80174,2.7299352e-10,2.097898e-12,7.994448,-146.88916,-227.22617,-299.25113,4.0026054,-1.544431,156.57446,195000
-129.64267,228.18694,0.0,0.058302,222.35674,2.6179742e-10,2.0193769e-12,8.617284,-122.40749,-225.8181,-305.22955,5.106122,-2.8608108,247.96814,200000
-129.91536,228.3754,0.0,0.055125035,222.8629,2.5252875e-10,1.9437943e-12,7.007181,-93.430786,-226.58722,-299.6015,3.612103,-2.4993055,171.85773,205000
-129.40688,229.04149,0.0,0.055351596,223.50633,2.4212557e-10,1.871041e-12,10.02113,-75.51324,-226.54477,-301.69678,4.847822,-4.5908504,208.86426,210000
-129.20671,229.24701,0.0,0.05442965,223.80405,2.3270268e-10,1.8010107e-12,7.0456824,-69.23332,-227.34676,-295.5613,5.078966,-1.5709217,150.20004,215000
-129.8494,232.48785,0.0,0.06143426,226.34442,2.251071e-10,1.7336014e-12,9.55958,-128.90057,-230.14075,-300.0209,2.5251677,-2.516513,159.3201,220000
-129.359,233.42088,0.0,0.05303164,228.11772,2.1586334e-10,1.6687154e-12,8.277151,-124.50142,-231.25946,-299.1425,3.1428907,-3.6456995,186.6008,225000
-129.68716,229.7354,0.0,0.04972087,224.7633,2.0831101e-10,1.6062577e-12,8.718386,-144.20749,-227.66055,-301.36606,3.7040324,-3.0478618,149.06056,230000
-130.16556,230.64345,0.0,0.053317063,225.31174,2.0212483e-10,1.5528288e-12,9.364872,-131.68578,-228.43971,-300.5876,2.6964529,-2.6896954,166.15753,235000
